,id,SubhaloGalaxyRad,SubhaloRad200,SubhaloMass200,SubhaloPosX,SubhaloPosY,SubhaloPosZ,SubhaloVelX,SubhaloVelY,SubhaloVelZ,SubhaloMassGasTotal,SubhaloMassDMTotal,SubhaloMassStellarTotal,SubhaloMassTotal,SubhaloHalfmassRadStellarTotal,SubhaloVelDisp3D_Stellar_Total_MW,SubhaloVelDisp3D_Gas_Total_MW,SubhaloVelDisp3D_DM_Total_MW,SubhaloVelDisp3D_Stellar_Re_Total_MW,SubhaloMassStellar15Rvir,SubhaloHalfmassRadStellar15Rvir,SubhaloVelDisp3D_Stellar_15Rvir_MW,SubhaloVelDisp3D_Stellar_Re_15Rvir_MW,SubhaloMassStellar30kpc,SubhaloHalfmassRadStellar30kpc,SubhaloVelDisp3D_Stellar_30kpc_MW,SubhaloVelDisp3D_Stellar_Re_30kpc_MW,SubhaloMassStellar10kpc,SubhaloHalfmassRadStellar10kpc,SubhaloVelDisp3D_Stellar_10kpc_MW
0,17185,155.34343872070312,1035.6229,25818.896,19755.18534802649,47554.91420014746,48920.633151087044,-190.56678194616038,345.70474781486666,13.917784543849097,2464.4560546875,23735.05847304583,154.83406,26354.348588402274,88.36611495984619,755.1477670636932,502.8975660567557,1077.2713781266152,624.7624106382923,93.82547,27.580284349982733,631.7065766323276,614.1792662188237,48.759747,8.300836320563365,614.04394853821,630.0109090774874,26.808163,3.326470213674334,626.8377638873391
1,31342,149.17134704589844,994.47565,22864.832,10900.190983748322,50857.877580396154,47590.404881772236,247.25634406406786,-117.81372203297609,89.17553292930677,2398.4853515625,19705.92860812884,191.9914,22296.40535373431,58.39467647215834,739.853352039663,492.0877560538634,1040.5753424173229,654.1455332577815,133.23491,26.033512539278288,709.4071139288627,617.5457231758841,71.5823,9.248493684814044,625.0728694406839,595.1832795403116,37.6456,3.533562951397243,595.9845201276854
2,41582,118.92303771972655,792.82025,11583.856,68543.1583583649,59018.25156168605,53991.99565825329,115.52217149034983,74.99581100210217,220.76379659536727,2100.79443359375,11625.857391997986,96.5123,13823.16412417572,19.989425366850153,700.6192142558391,349.30147793323454,877.3299868296733,566.9653928098029,75.95955,11.746437376572095,697.7724895326288,554.9730249877913,54.72629,7.304031475334153,589.0420335177427,547.8944107800494,34.345127,4.001341331246442,553.0307814115571
3,52618,135.64495239257812,904.2997,17189.889,74659.30231606486,18347.52604958556,24016.42486846721,-7.349147541194134,378.6773002420651,201.22585294488854,2172.833251953125,13064.35277042143,81.455666,15318.641687962934,35.80102065465907,661.2599298100382,466.7904313971109,915.8802540531651,530.3287530113837,56.255016,12.059458072248278,566.6028774242687,522.9741798754543,38.806026,6.378427208782657,526.7473063111012,527.6298879202653,25.449507,2.863831469952067,524.5186220070219
4,60731,125.95307922363281,839.6872,13763.24,18832.781770785587,68248.73281279128,2399.8353528505418,-44.95314246455377,56.168326870451864,-24.97952897606356,2096.78076171875,12247.116187797168,90.84819,14434.745139823535,33.39760604747458,719.1042496210945,433.38049608584936,906.9071350495927,603.3493203019596,64.34422,12.907032490199846,622.8854159841865,591.3903269214236,43.84464,4.204780572750805,602.3952031777233,589.8394685408347,29.449574,1.9971979064184835,589.7722467699776
5,69507,127.06785278320312,847.119,14129.891,43440.115060139,38187.36843339067,70194.51385511916,-31.060273974784785,-113.38247566841845,-91.63872112807151,2097.958984375,12938.266079910105,150.74039,15186.965451247996,32.65045694290344,668.8504178640362,325.3315156852454,923.3931731585283,617.7097464847301,119.21247,21.24463328085522,643.0228337451284,611.4705792651386,72.253555,9.466747099886051,616.5073553379763,597.1986523359534,37.417988,3.6503100432459994,598.3540635109717
6,76086,95.78529052734375,638.5686,6053.2314,36771.98057884672,937.574047139254,70503.4659197319,-168.4739311166538,-107.65673621516325,38.295163142630436,1576.1976318359375,7816.823230143395,64.50933,9457.530192728846,23.79077160190032,536.3706731991346,336.33593902440566,682.6120364668144,494.89747644547566,50.25974,14.533329013418923,523.8748352869239,485.39307355674964,35.667667,8.273461642705975,499.4586994124807,474.7245065733172,20.14078,3.5367282443280605,478.07135849877716
7,83280,126.93605346679686,846.24036,14088.271,23867.918560123162,33076.11857327403,41411.14821781807,-194.02638061234504,328.1840940352711,129.13481790760324,2074.203125,11741.34876197888,141.86218,13957.414069596067,33.20835266796368,704.8219251482327,360.36531519101385,916.8497970424796,653.0648279545005,105.70452,18.984417377066787,693.2746237058227,633.9136145812105,67.54176,9.325548841996623,644.361011344194,623.9371527871517,35.366486,3.6034578402837063,625.2905628704016
8,88663,127.8615509033203,852.41034,14396.071,40718.06641006263,66889.86771275931,43053.67755843462,37.48304705834164,-45.524632327158585,185.6240361603632,2077.801025390625,12181.228228762602,139.9875,14399.016757204985,31.965564931478255,670.3815477002419,493.69607708928106,965.7132289263665,596.7415924650614,113.53864,22.632799412644648,629.5213237844521,592.1158730989507,67.53357,10.959806809524487,595.9381167795706,576.1719287599342,31.444729,4.463235073713965,573.9882912954155
9,96500,117.0616973876953,780.4113,11049.352,58440.49862986482,619.4475203767203,38193.21527675763,54.07604862816973,188.55549171324174,98.63239960088919,1888.864501953125,10458.25883309144,118.582405,12465.705740134897,35.30575847921032,696.7081859822597,329.3892362671775,889.6425012196398,601.7997468364468,94.3619,23.713963078716265,696.0271270685608,588.3993542433471,54.202847,10.556681307592443,596.9319461033596,549.0406885129041,26.100056,3.4351332558916163,545.8725946622363
