,id,SubhaloHalfmassRad_xyTotal,SubhaloHalfmassRad_xzTotal,SubhaloHalfmassRad_yzTotal,SubhaloVelDispReProjectedStellarTotal,SubhaloVelDisp3D_Stellar_Re_Total,SubhaloVelDisp3D_Stellar_Total,SubhaloVelDisp3D_Gas_Total,SubhaloVelDisp3D_DM_Total
787,435685,2.391154982,2.45158205,2.755322572,109.852564,193.12096,193.8321955,205.2127083,250.2890162
788,435782,3.914627769,3.624740865,4.856346744,121.3734128,214.2616136,215.4726327,232.9868366,288.1886768
789,435868,1.531488113,1.465469608,0.83250334,110.8333115,196.1662339,191.2970255,146.558826,243.5163162
790,436003,1.435980093,1.739801008,2.113426881,131.410795,231.6188744,229.9504785,230.0948772,285.9248629
791,436127,2.34305537,2.622238359,2.139332224,124.2198757,215.782481,205.9055808,209.5560434,243.7309122
792,436233,1.434335788,1.314034718,1.134249582,115.1217023,201.2708478,208.401392,240.9781175,303.0217028
793,436349,4.838155369,3.885555908,3.587610328,114.8633154,205.8099046,209.2809545,233.2042124,297.1284357
794,436458,3.312424521,3.630577103,3.550526695,120.5639886,212.0323035,208.6012836,224.5810159,267.1838507
795,436551,2.236706241,2.29186019,2.780783765,113.4423083,197.2153963,187.8418041,198.7540251,235.2855703
796,436642,1.851812301,1.842667874,1.85882785,140.6901959,242.7991917,233.4978031,210.4847626,299.7110065
797,436797,1.626603958,1.847795381,1.629205767,129.3597964,221.2784289,222.0209467,129.3090609,317.5056539
798,436917,4.590755845,4.506141629,4.374061342,132.0788505,233.7483314,234.961518,241.8637508,293.6630357
799,436991,1.554668327,1.518642289,1.217103206,86.22836756,156.2437115,161.7904168,156.2103188,213.2478742
800,437121,3.230745803,4.948216656,4.080129163,116.5573375,208.4451006,209.6319497,247.0407427,269.0424297
801,437239,4.657612624,3.404155511,3.816668785,122.7598315,217.6375324,216.2302834,238.5489361,277.6449548
802,437314,4.039439714,5.097538468,3.442066611,110.3365161,194.4048246,214.0036765,227.0115031,287.9396107
803,437408,1.709792287,1.590015531,1.361984127,117.4851192,215.760008,225.313463,190.067582,262.3713834
804,437507,3.128269606,3.138804791,3.370492773,115.3928542,198.9593179,197.1880339,212.8890784,265.339695
805,437645,1.665300826,1.633001597,0.891057081,123.6384693,217.5640074,202.2279057,192.5770925,237.8086469
806,437749,1.372354545,1.364140513,1.744602762,148.4066025,255.8854869,244.9583438,157.7077523,315.9276356
807,437822,4.362836969,5.071118125,5.743538226,109.6096691,193.0329323,204.2629585,225.7094022,277.2966585
808,437945,2.056741909,1.938955386,2.384858884,134.9316568,234.9541633,233.2065888,130.0606463,306.4999396
809,438038,2.901846833,3.586422608,3.928699412,124.2519872,213.6811235,207.2612541,161.2258237,279.642474
810,438167,5.431604572,4.173829031,4.655593462,116.3429255,205.0035784,205.2120952,218.7516267,271.4451971
811,438297,3.433967512,3.651794828,5.481469355,99.62473782,189.4048333,200.987566,207.3211377,243.2698386
812,438368,4.242880238,4.380921611,5.012166125,136.6456395,245.4727699,251.8209716,269.1408059,310.9230183
813,438453,1.269672797,1.414577027,1.622129925,95.81571116,173.6857511,179.666511,163.696403,212.0787422
814,438568,2.199248794,2.699373237,2.032091108,122.955651,214.6653436,211.6372049,196.3461399,277.3520681
815,438669,2.467671683,2.370170503,3.068151224,103.2959124,180.7397183,182.5240487,199.8236704,249.0428264
816,438787,4.123647502,4.025170078,2.920385229,100.7541969,183.1768928,192.5279854,206.6569228,252.2347019
817,438890,1.60205941,1.154722801,1.528595286,110.9994417,193.8556713,204.4965135,205.6286329,285.598023
818,438996,2.969762206,2.232157898,2.504125621,125.7681648,217.0474319,208.8172526,233.9206518,257.1257846
819,439078,1.581582305,2.153812886,1.551912237,101.5347125,187.6261224,193.509616,180.5234289,238.1188329
820,439201,4.118499057,3.616197084,3.355861095,139.4016173,243.6645095,237.4487765,244.352332,285.4971238
821,439283,1.724201621,2.262899925,2.289097847,125.2293809,217.480865,206.4575525,216.5956773,255.2921692
822,439392,2.437287782,2.784001605,2.88269961,125.6674489,220.453789,214.9532151,229.6970061,270.4394043
823,439468,4.23348722,3.837012666,4.117479886,142.4798092,245.4278622,236.4522444,239.0408061,299.5137306
824,439518,7.14838213,8.170919429,5.44547098,118.6625436,211.7656402,215.2511699,234.3656303,271.8027062
825,439630,3.749713993,3.812474422,2.796434274,86.76218448,153.5020084,158.6530986,175.2128731,206.6334249
826,439732,1.094137589,1.195212391,0.734988413,152.592621,264.5837064,257.0081237,127.7285446,330.8904026
827,439827,2.058269249,2.228703666,1.702895672,117.3570757,205.0889409,207.1729143,176.3573247,269.7759116
828,439922,2.459924552,3.341315921,2.892723584,123.8779563,214.0243038,200.4350996,213.2204963,252.3724758
829,440024,1.204057279,1.399972102,0.923073256,110.4693991,192.900787,202.6950558,215.8329294,291.4806057
830,440144,1.849896154,2.217999351,2.34317383,151.0647462,258.6279366,254.6630296,237.8359619,315.6877165
831,440193,2.89354591,2.495604549,2.459700494,120.0745258,207.7440118,199.9514181,205.7068796,252.2008906
832,440289,4.840351344,5.021832307,5.817985185,122.2911462,214.9514836,217.3494024,236.986066,276.6350342
833,440377,5.259715391,4.277620002,5.481878759,119.603282,209.1802625,207.0358854,225.0495781,268.2341518
834,440477,1.707680694,2.119924537,1.767561207,97.22385851,172.2054008,177.5758688,182.9994273,220.0177169
835,440568,2.263698417,2.807173155,3.079124539,94.07121126,171.2882902,182.2724566,204.8287224,237.5486297
836,440642,3.989517483,4.734370729,5.45133742,122.2975631,214.1262353,215.7577682,229.9363573,281.4283869
837,440726,4.287587748,4.110105256,3.185042641,120.2225997,206.2484641,208.3559145,227.0131629,278.070756
838,440827,4.320611302,5.882122648,5.386695725,124.1811498,218.688535,219.4003708,230.2454227,266.9868268
839,440923,1.072259105,1.220920335,1.484889449,108.2636133,194.3924941,196.6819681,241.991203,256.2529712
840,441036,1.894673074,1.946791303,2.158583356,108.2197047,186.9341539,183.6415157,191.5269323,239.56562
841,441141,3.334132236,2.867340674,3.626284963,119.7176225,212.0278368,218.1899584,225.9887342,266.3599017
842,441218,2.274121682,2.529941374,2.003064712,81.60804644,145.8940188,154.7585395,164.427922,197.4559161
843,441327,3.83464076,5.48771407,4.253446866,119.8508075,214.8364075,221.9273271,235.8671697,280.8808427
844,441397,5.335859226,5.836263679,8.152918076,114.7278909,206.133423,238.3107359,263.5028669,302.0815246
845,441494,1.689050113,1.661844482,1.983940466,110.339949,188.6193498,200.1797668,253.170119,307.6212124
846,441574,2.900106285,2.292175852,2.477083829,147.1859262,253.8897208,242.5332806,149.1089589,310.7287617
847,441667,4.971378783,3.719118985,3.923089932,119.0484649,211.4187243,216.0291508,233.58038,275.1234667
848,441763,1.888717582,1.987477698,1.869735299,139.0619676,240.7625379,237.9225347,229.7184659,302.8908684
849,441857,1.682277146,2.162436716,1.800727957,102.1312693,185.246883,197.0579458,209.9430421,237.932227
850,441939,0.760922167,1.425788402,1.441530183,130.1406767,227.1452859,218.2122264,129.3758571,257.2061871
851,442084,2.225114888,3.01333779,2.770935098,137.7209583,236.2665454,230.8314451,218.3483636,313.5962546
852,442154,4.391205494,3.712825643,3.425113205,128.1928127,227.0531433,226.2310119,238.4211435,289.2491545
853,442227,3.62135151,5.339382444,3.445015924,104.1349206,188.4148932,196.2179738,219.4150409,252.2094931
854,442299,1.262536899,1.533014416,1.364634836,101.4010362,178.2802881,176.1863233,176.3991201,236.2173816
855,442350,7.352378869,5.789490563,4.593938142,108.5868154,193.8707687,196.2824896,214.6783024,265.4302894
856,442439,2.761284429,3.138413084,3.967694485,131.2775392,226.4016747,213.3550285,220.1078154,260.6929166
857,442532,2.042997785,2.312881173,2.894387217,108.3320367,193.4363438,197.5206612,217.3294488,255.3181397
858,442637,4.616174181,5.587322533,5.412849603,119.8585626,211.8360394,213.7702529,232.1555739,267.0058543
859,442761,3.802871003,2.823622697,2.960521956,130.3676887,232.4877217,231.0691224,149.8847938,313.2858885
860,442855,3.709761106,3.870266094,2.991681216,123.934238,218.4395451,217.964706,223.7104899,272.0104062
861,442979,2.095433401,2.969628358,2.912317151,112.3903038,203.608707,205.9433386,218.2453158,258.8254248
862,443097,1.212802858,1.055163024,1.080485175,145.6442746,249.2954831,233.8372606,123.0715081,306.4983783
