,id,SubhaloGalaxyRad,SubhaloRad200,SubhaloMass200,SubhaloPosX,SubhaloPosY,SubhaloPosZ,SubhaloVelX,SubhaloVelY,SubhaloVelZ,SubhaloMassGasTotal,SubhaloMassDMTotal,SubhaloMassStellarTotal,SubhaloMassTotal,SubhaloHalfmassRadStellarTotal,SubhaloHalfmassRad_xyTotal,SubhaloHalfmassRad_xzTotal,SubhaloHalfmassRad_yzTotal,SubhaloVelDispReProjectedStellarTotal,SubhaloVelDisp3D_Stellar_Re_Total,SubhaloVelDisp3D_Stellar_Total,SubhaloVelDisp3D_Gas_Total,SubhaloVelDisp3D_DM_Total
0,17185,155.34343872070312,1035.6229,25818.896,19755.18534802649,47554.91420014746,48920.633151087044,-190.56678194616038,345.70474781486666,13.917784543849097,2464.4560546875,23735.05847304583,154.83406,26354.348588402274,88.36611495984619,75.74559565259639,62.99768021430285,56.653372185594236,364.5714445436514,622.5653507077907,611.871208189739,232.87775428172793,843.8746513212981
1,31342,149.17134704589844,994.47565,22864.832,10900.190983748322,50857.877580396154,47590.404881772236,247.25634406406786,-117.81372203297609,89.17553292930677,2398.4853515625,19705.92860812884,191.9914,22296.40535373431,58.39467647215834,46.43699701051976,46.42912066599753,37.63983434617024,380.51177543212117,651.1110345979401,622.69070959635,514.3927334349303,994.7244276009856
2,41582,118.92303771972655,792.82025,11583.856,68543.1583583649,59018.25156168605,53991.99565825329,115.52217149034983,74.99581100210217,220.76379659536727,2100.79443359375,11625.857391997986,96.5123,13823.16412417572,19.989425366850153,15.16888538382576,16.30645760442082,13.602399987056708,330.9825215944119,563.1368171287221,585.4431756055078,547.141807510163,983.2335425298489
3,52618,135.64495239257812,904.2997,17189.889,74659.30231606486,18347.52604958556,24016.42486846721,-7.349147541194134,378.6773002420651,201.22585294488854,2172.833251953125,13064.35277042143,81.455666,15318.641687962934,35.80102065465907,28.521451837547453,27.59005635330926,21.951934008536735,309.21773214753824,529.3157216956942,525.7448257017313,399.97462084076255,810.1798596384648
4,60731,125.95307922363281,839.6872,13763.24,18832.781770785587,68248.73281279128,2399.8353528505418,-44.95314246455377,56.168326870451864,-24.97952897606356,2096.78076171875,12247.116187797168,90.84819,14434.745139823535,33.39760604747458,25.287909913182652,23.87214037079358,24.841662731888736,351.81599949852995,602.0614245992434,601.186345854482,199.85375541608317,848.0730065442473
5,69507,127.06785278320312,847.119,14129.891,43440.115060139,38187.36843339067,70194.51385511916,-31.060273974784785,-113.38247566841845,-91.63872112807151,2097.958984375,12938.266079910105,150.74039,15186.965451247996,32.65045694290344,24.619417171729793,25.051595704088573,24.14215195762737,360.1445507282296,614.4089267426433,613.1935652133608,272.56908573962124,956.0223583973681
6,76086,95.78529052734375,638.5686,6053.2314,36771.98057884672,937.574047139254,70503.4659197319,-168.4739311166538,-107.65673621516325,38.295163142630436,1576.1976318359375,7816.823230143395,64.50933,9457.530192728846,23.79077160190032,19.373210614032846,19.435470052066826,14.513529044656085,288.60597543455333,492.27721404910574,496.70619957919223,235.8490588943115,787.7530206359812
7,83280,126.93605346679686,846.24036,14088.271,23867.918560123162,33076.11857327403,41411.14821781807,-194.02638061234504,328.1840940352711,129.13481790760324,2074.203125,11741.34876197888,141.86218,13957.414069596067,33.20835266796368,24.395158091989572,24.876747412689056,26.070520229683925,380.7005321188454,651.686561102674,642.9789980124289,175.70876305158274,973.1434980089681
8,88663,127.8615509033203,852.41034,14396.071,40718.06641006263,66889.86771275931,43053.67755843462,37.48304705834164,-45.524632327158585,185.6240361603632,2077.801025390625,12181.228228762602,139.9875,14399.016757204985,31.965564931478255,23.014301163604852,26.571798655220572,23.524052517417225,347.77387172919737,594.2076714650392,593.3788321084666,194.26891936038373,923.775918484107
9,96500,117.0616973876953,780.4113,11049.352,58440.49862986482,619.4475203767203,38193.21527675763,54.07604862816973,188.55549171324174,98.63239960088919,1888.864501953125,10458.25883309144,118.582405,12465.705740134897,35.30575847921032,28.944479916155696,27.836122628404514,22.50945118465002,354.64356489224394,599.4535867636602,594.7075591205441,286.93753277974963,917.6064011138421
10,102683,108.93145751953125,726.2097,8902.032,24088.48269899267,36102.84711768208,43269.25789326511,-187.70063934091834,-70.97576954057692,-125.14528355612076,1473.4002685546875,8322.7044101783,108.13752,9904.242198569413,24.396663256546447,16.571092069866832,16.008476322814715,21.151654226345666,335.1986099480393,576.596216925477,578.9272528762632,339.134123456039,862.5325301079743
11,108012,94.34498291015625,628.96655,5784.0205,18199.1779969148,724.0211861759777,9034.912173423087,-123.54362395908545,555.8581868430811,-82.35937871103306,1185.3963623046875,6827.492696032253,40.31888,8053.207936510768,19.40291965545937,15.527326714672261,12.642934177073997,15.886883490393187,244.68098352708688,418.5707217374926,422.5913766086635,437.406065630668,631.655729313508
12,114388,79.70353088378906,531.3569,3487.1921,15424.31409531026,49014.71855582404,48569.36502844595,-516.413825695383,-410.1892763715651,-65.42471542000922,297.8804931640625,2787.4575935418648,52.41286,3137.7509475762886,15.15694865775936,12.389958777622441,10.949463882893676,10.380805613328219,279.4967102699367,483.97972348556,479.3895406271247,481.83059907466514,651.9039876076775
13,118679,104.00352172851562,693.3568,7748.216,55535.094629287174,7682.882370802181,35531.91501259287,202.01778817520233,-174.27262765570046,124.49893480293326,1200.7374267578125,6991.961070406153,80.26866,8272.967158662988,19.126222716307705,14.137232918909518,14.29269007537855,14.335938303885175,342.01372060887,588.1539992179787,592.6539819417849,260.15284659876033,849.8352001916747
14,121863,102.42110595703124,682.8074,7399.66,52325.401457280954,70909.33327509084,41840.827342964214,-1.4634004533894172,89.3192546337608,-106.24019911791119,1132.717041015625,6424.7734456110375,64.88904,7622.3795247126,17.702132750343925,13.17462358633748,12.72515354683394,13.736405274508764,336.77004205413226,575.8637754910479,582.0934701295463,307.57945051290045,810.3741555302129
15,125027,85.3093780517578,568.7292,4276.015,70313.4082978171,59598.180245855314,55633.308774665304,-149.51648644386793,-394.0064922673056,-537.9690331504734,496.7861633300781,3437.176683210307,57.991478,3991.954324506694,17.677806829084602,13.018545498666981,13.036271991659135,13.249858870919978,273.6129120406681,471.1285892373489,469.35256917191066,433.7068970450119,660.9953831547001
