catid,ra_obj,dec_obj,ra_ifu,dec_ifu,r_petro,r_auto,z_tonry,z_spec,m_r,r_e,mu_within_1re,mu_1re,mu_2re,ellip,pa,mstar,g_i,a_g,surv_sami,bad_class
9011900123,14.16114268,-1.351800871,,,16.399715,16.376335,,0.044617474,-20.124723,1.7624207,18.70105,19.952168,21.55079,0.5736427,145.96158,10.17018,1.1631536,,7,0
9011900124,13.93699134,-1.21594197,,,16.828753,16.805872,,0.041748602,-19.69268,2.112302,19.476692,20.872248,22.447372,0.5778956,229.61775,9.971561,1.1299706,,7,0
9011900125,13.96305063,-1.16472867,,,15.51798,15.517859,,0.047675494,-20.986212,3.9245424,19.852978,20.99813,22.619455,0.4555658,160.91103,10.5898075,1.2620907,,7,0
9011900127,14.04446603,-1.116917527,,,14.513607,14.4380665,,0.041749552,-22.060516,8.976684,20.603382,22.026674,23.598063,0.3279763,235.86963,11.049059,1.2775679,,7,0
9011900128,14.1150923,-1.387553221,,,17.18926,17.193611,,0.042473137,-19.298958,3.1219697,21.177765,21.802216,23.69018,0.40949392,208.42592,9.547616,0.7885475,,8,0
9011900133,13.96912401,-1.358864374,,,17.848558,17.791529,,0.041055694,-18.706594,2.6862323,21.739319,22.938366,24.547464,0.16346508,246.76585,9.571817,1.135189,,7,0
9011900137,13.93887005,-1.324592708,,,15.969647,15.931607,,0.04588637,-20.570843,2.2919922,19.126682,20.422888,22.013369,0.43301708,156.15611,10.433659,1.2652044,,7,0
9011900138,14.21456792,-1.27249827,,,14.51837,14.49469,,0.04111345,-22.00349,5.6438327,18.805391,20.026554,21.631052,0.75137234,90.431015,10.941558,1.1834011,,7,0
9011900144,13.94037972,-1.163310011,,,16.73124,16.70476,,0.04276648,-19.794458,5.2416654,21.068413,22.181326,23.810726,0.6694324,143.90047,9.972035,1.0897255,,7,0
9011900145,14.06420675,-1.098396593,,,17.775492,17.771582,,0.045105126,-18.727842,2.80159,21.239178,22.492653,24.090828,0.5003417,209.54802,9.516817,1.0407923,,7,0
9011900147,13.91948626,-1.312145476,,,14.510132,14.512312,,0.043571375,-21.986885,7.5609317,20.704063,21.65486,23.335857,0.20568171,268.85672,10.839615,1.0685577,,8,0
9011900149,14.22599109,-1.257009756,,,17.620098,17.613289,,0.051730137,-18.88175,2.7504063,21.75911,22.696402,24.382715,0.058643084,117.97052,9.3559475,0.7787838,,3,0
9011900150,14.16010651,-1.125987334,,,16.137064,16.116915,,0.045282565,-20.384964,3.6578257,19.829426,21.006468,22.620377,0.64678514,238.12785,10.283888,1.1854429,,7,0
9011900152,13.90944347,-1.279463729,,,16.593176,16.592657,,0.04419724,-19.89859,4.902653,21.671644,22.960041,24.551874,0.20842299,256.30276,9.703406,0.6888752,,8,0
9011900156,14.16066505,-1.39054479,,,15.192124,15.212355,,0.044169135,-21.288553,5.2091393,20.517632,22.101173,23.654741,0.03307027,84.56374,10.693269,1.2331057,,7,0
9011900157,14.12221525,-1.099088393,,,17.420355,17.393295,,0.04212071,-19.10528,1.8579507,20.494911,21.679508,23.291739,0.21972448,119.61284,9.709981,1.097372,,7,0
9011900161,13.97216541,-1.11654056,,,17.366854,17.339664,,0.045454387,-19.16163,2.7781358,21.563423,22.513481,24.194765,0.018462926,107.62499,9.722659,1.0969847,,7,0
9011900163,13.89821648,-1.235542979,,,17.041124,16.990255,,0.041062918,-19.5075,3.4607008,21.066011,22.119778,23.765686,0.4279661,111.60816,9.899929,1.1225204,,7,0
9011900165,13.9093297,-1.183413264,,,17.0843,17.08807,,0.040397268,-19.409468,2.6964734,20.606976,21.880678,23.47512,0.4220611,156.57083,9.8699465,1.1479149,,7,0
9011900166,14.23710667,-1.211850632,,,14.478201,14.458411,,0.050021525,-22.035418,9.506497,21.28446,22.00776,23.810612,0.15445335,235.6344,10.623631,0.773592,,8,0
9011900168,14.24401999,-1.256885852,,,16.191511,16.17119,,0.044621002,-20.329998,2.6337173,20.164242,21.372496,22.97965,0.07438793,215.0127,10.276308,1.1900282,,7,0
9011900169,14.03251736,-1.429700353,,,17.717072,17.727142,,0.04636541,-18.772821,2.2379065,21.156246,22.241297,23.878185,0.25699627,241.44914,9.52414,1.0298786,,7,0
9011900170,14.12506688,-1.087027828,,,16.906527,16.893616,,0.04800878,-19.609842,1.9996977,19.775352,21.121286,22.70367,0.41863754,204.49965,9.912812,1.1151924,,7,0
9011900174,14.1799066,-1.395937519,,,17.483356,17.491127,,0.04565568,-19.007032,1.4553665,19.987143,20.748087,22.524925,0.31508192,191.69821,9.523592,0.926958,,8,0
9011900175,14.21965016,-1.159170213,,,15.464143,15.4018135,,0.04577066,-21.1004,3.9398851,20.08489,21.543709,23.110619,0.18688865,159.08145,10.569044,1.1803712,,7,0
9011900177,14.24850589,-1.265093433,,,17.696753,17.704412,,0.047310304,-18.797972,3.448427,20.696976,21.72572,23.37935,0.80481464,103.8361,9.55026,1.0703601,,7,0
9011900178,13.92385476,-1.367883315,,,17.651758,17.72819,,0.04137403,-18.769709,3.128012,21.282652,22.43437,24.054123,0.5667309,116.34994,9.596442,1.1123829,,7,0
9011900183,14.11645032,-1.43529571,,,15.788057,15.730488,,0.04506117,-20.770947,2.6013644,19.539494,20.953262,22.52591,0.1675161,94.37562,10.43958,1.1741123,,7,0
9011900186,13.88460066,-1.211081059,,,16.368725,16.340496,,0.04589949,-20.1614,4.012146,20.703978,21.693512,23.36024,0.46822014,111.37179,10.142353,1.1212949,,7,0
9011900189,13.87965966,-1.22344989,,,16.539656,16.505884,,0.043020178,-19.993498,4.7924614,21.804855,22.910181,24.54157,0.012734736,146.86401,10.077732,1.1127605,,7,0
9011900193,14.06606691,-1.4466833,,,17.093006,17.093527,,0.04628792,-19.407776,3.5853825,20.517534,21.51921,23.181747,0.7198084,266.21396,9.822715,1.0890561,,7,0
9011900196,13.93945004,-1.399723726,,,16.995588,17.022728,,0.04506361,-19.478811,2.099448,20.547361,21.668869,23.296057,0.06315629,180.88387,9.903426,1.1604193,,7,0
9011900198,13.87851154,-1.297145582,,,16.887257,16.889828,,0.04605186,-19.612654,3.6908588,21.304325,22.691332,24.267653,0.24277921,275.41583,9.997012,1.2029667,,7,0
9011900201,14.09099438,-1.449433841,,,16.67222,16.648659,,0.046205297,-19.853403,2.5663254,19.751083,21.139717,22.715807,0.5587111,176.67134,10.025073,1.1255018,,7,0
9011900202,14.21971493,-1.131246091,,,16.736078,16.722248,,0.047979586,-19.781364,4.8688407,21.592577,23.150433,24.706478,0.29005536,105.28599,10.034747,1.1668644,,7,0
9011900208,14.24097689,-1.158048598,,,17.583279,17.536978,,0.048020866,-18.964603,2.8357112,21.197048,22.190668,23.855974,0.5076271,117.834,9.60291,1.0415325,,7,0
9011900210,14.16505384,-1.0784953,,,17.39303,17.37955,,0.04447511,-19.121563,3.065284,20.905338,22.04375,23.666714,0.6091427,247.75014,9.75946,1.1621246,,7,0
9011900211,14.02503733,-1.057119733,,,16.426243,16.369974,,0.043176945,-20.129526,3.6567178,20.291576,21.445198,23.064499,0.68203765,117.525604,10.16206,1.1399775,,7,0
9011900212,14.16372488,-1.077030033,,,17.647694,17.568354,,0.040238895,-18.92883,2.0618095,20.485113,21.575428,23.210863,0.49276724,107.348236,9.630335,1.0900402,,7,8
9011900216,14.0027462,-1.450894941,,,17.24825,17.23408,,0.04495895,-19.267012,1.2455049,19.637278,20.93214,22.52285,0.07868851,166.25157,9.78694,1.1203327,,7,0
9011900217,13.95663095,-1.08168386,,,16.394014,16.336884,,0.04462412,-20.164396,1.6603447,18.527477,19.853401,21.438936,0.5825986,163.56763,10.218373,1.20294,,7,0
9011900218,13.86249288,-1.223117595,,,17.367378,17.33994,,0.04347191,-19.160196,1.8682791,19.458479,20.338425,22.049522,0.70584255,239.56651,9.758819,1.1393642,,7,0
9011900222,13.8686223,-1.323770123,,,17.690895,17.680685,,0.039594978,-18.815994,1.5742042,20.198465,21.195343,22.859522,0.3772427,211.57654,9.569715,1.0763016,,7,0
9011900223,13.97952957,-1.064116993,,,15.410212,15.636822,,0.044598095,-20.864367,13.792708,22.310318,24.057035,25.597555,0.17979708,154.09282,10.513957,1.2125559,,7,1
